X = -52.6    , Y = 72.4     , Z = 145.6
X = -58.2    , Y = 76.5     , Z = 145.7
X = -62.2    , Y = 79.6     , Z = 146.5
X = -65.5    , Y = 82.2     , Z = 147.6
X = -72.0    , Y = 87.5     , Z = 151.2
X = -77.1    , Y = 91.5     , Z = 155.5
X = -81.0    , Y = 94.1     , Z = 159.5
X = -85.3    , Y = 97.1     , Z = 165.8
X = -87.3    , Y = 98.9     , Z = 170.3
X = -89.4    , Y = 101.0    , Z = 177.4
X = -91.0    , Y = 102.5    , Z = 187.0
X = -91.5    , Y = 102.0    , Z = 198.7
X = -91.1    , Y = 99.8     , Z = 207.5
X = -90.3    , Y = 96.8     , Z = 214.5
X = -88.5    , Y = 91.2     , Z = 223.0
X = -85.6    , Y = 83.8     , Z = 230.3
X = -81.8    , Y = 76.3     , Z = 235.5
X = -76.3    , Y = 67.4     , Z = 239.2
X = -68.6    , Y = 57.7     , Z = 240.7
X = -58.2    , Y = 48.6     , Z = 239.0
X = -50.5    , Y = 44.0     , Z = 235.8
X = -46.2    , Y = 42.0     , Z = 233.4
X = -39.3    , Y = 40.0     , Z = 228.7
X = -34.4    , Y = 39.3     , Z = 224.6
X = -28.6    , Y = 39.2     , Z = 218.3
X = -24.3    , Y = 39.9     , Z = 211.9
X = -20.8    , Y = 41.2     , Z = 205.0
X = -18.5    , Y = 42.9     , Z = 198.5
X = -17.1    , Y = 45.8     , Z = 188.3
X = -17.3    , Y = 47.5     , Z = 183.0
X = -18.5    , Y = 49.9     , Z = 176.2
X = -20.0    , Y = 51.6     , Z = 171.5
X = -24.8    , Y = 55.4     , Z = 162.6
X = -29.6    , Y = 58.5     , Z = 156.8
X = -34.1    , Y = 61.2     , Z = 152.9
X = -42.1    , Y = 65.7     , Z = 148.2
X = -50.7    , Y = 71.1     , Z = 145.8
X = -52.6    , Y = 72.4     , Z = 145.6
X = 0.0      , Y = 57.3     , Z = 145.8
X = 12.6     , Y = 57.7     , Z = 147.8
X = 22.3     , Y = 58.1     , Z = 152.4
X = 30.9     , Y = 58.1     , Z = 159.3
X = 37.0     , Y = 57.5     , Z = 167.0
X = 40.7     , Y = 56.4     , Z = 174.5
X = 43.6     , Y = 54.0     , Z = 185.4
X = 43.8     , Y = 50.7     , Z = 195.7
X = 42.8     , Y = 48.4     , Z = 201.3
X = 40.6     , Y = 45.5     , Z = 207.7
X = 36.8     , Y = 42.4     , Z = 214.2
X = 29.9     , Y = 38.8     , Z = 221.6
X = 24.3     , Y = 36.8     , Z = 225.6
X = 10.3     , Y = 34.0     , Z = 231.0
